,Epochs,Return
0,1000,7.709983173871143
1,2000,0.7290000000000001
2,3000,4.583991586935571
3,4000,7.709983173871143
4,5000,23.85894952161343
5,6000,27.713941108549
6,7000,26.984941108549002
7,8000,16.148966347742284
8,9000,34.69492428242014
9,10000,26.984941108549002
10,11000,23.12994952161343
11,12000,30.83993269548457
12,13000,26.984941108549002
13,14000,27.713941108549005
14,15000,32.22503269548457
15,16000,34.69492428242014
16,17000,30.83993269548457
17,18000,34.69492428242014
18,19000,26.984941108549002
19,20000,30.83993269548457
20,21000,30.83993269548457
21,22000,23.12994952161343
22,23000,26.984941108549002
23,24000,30.83993269548457
24,25000,28.442941108548997
25,26000,15.419966347742285
26,27000,23.85894952161343
27,28000,23.12994952161343
28,29000,35.42392428242014
29,30000,26.984941108549002
30,31000,35.42392428242014
31,32000,26.984941108549002
32,33000,19.274957934677857
33,34000,34.69492428242014
34,35000,20.003957934677857
35,36000,26.984941108549002
36,37000,34.69492428242014
37,38000,38.54991586935571
38,39000,21.461957934677855
39,40000,34.69492428242014
40,41000,30.83993269548457
41,42000,20.003957934677857
42,43000,34.69492428242014
43,44000,20.003957934677857
44,45000,34.69492428242014
45,46000,30.83993269548457
46,47000,16.148966347742284
47,48000,19.274957934677857
48,49000,30.83993269548457
49,50000,35.42392428242014
